filename:,/Users/anthonyfoster/Downloads/sdk-2/StatsDemo6.csv,
badEv/sec:,number of corrupted events received per second,
bytes/sec_sync:,average number of bytes per second transfered during a sync,
bytes/sec_trans:,number of bytes in the transactions received per second (from unique events created by self and others),
bytes/trans:,number of bytes in each transactions,
cEvents/sec:,number of events per second created by this node,
conns:,number of times a TLS connections was created,
dupEv%:,percentage of events received that are already known,
ev/syncR:,number of events received per successful sync,
ev/syncS:,number of events sent per successful sync,
events/sec:,number of unique events received per second (created by self and others),
icSync/sec:,(interrupted call syncs) syncs interrupted per second initiated by this member,
irSync/sec:,(interrupted receive syncs) syncs interrupted per second initiated by other member,
local:,number of members running on this local machine,
memberID:,ID number of this member,
members:,total number of members participating,
memFree:,bytes of free memory (which can increase after a garbage collection),
memMax:,maximum bytes that the JVM might use,
memTot:,total bytes in the Java Virtual Machine,
name:,name of this member,
ping:,average time for a round trip message between 2 computers (in milliseconds),
proc:,number of processors (cores) available to the JVM,
q1:,number of non-consensus events in queue waiting to be handled,
q2:,number of consensus events in queue waiting to be handled,
q3:,number of handled events in queue waiting to be deleted,
rounds/sec:,average number of rounds per second,
roundSup:,latest round with state signed by a supermajority,
sec/sync:,duration of average successful sync (in seconds),
secC2C:,time from creating an event to knowing its consensus (in seconds),
secC2R:,time from another member creating an event to receiving it and veryfing the signature (in seconds),
secC2RC:,time from another member creating an event to it being received and and knowing consensus for it (in seconds),
secOR2T:,other event consensus timestamp minus time received,
secR2C:,time from receiving an event to knowing its consensus (in seconds),
secR2F:,time from a round's first received event to all the famous witnesses being known (in seconds),
secR2nR:,time from fist event received in one round to first event received in the next round (in seconds),
secSC2T:,self event consensus timestamp minus time created,
simSyncs:,avg number of simultaneous syncs happening at any given time,
sync/secC:,(call syncs) syncs completed per second initiated by this member,
sync/secR:,(receive syncs) syncs completed per second initiated by other member,
time:,the current time,
trans/event:,number of app transactions in each event,
trans/sec:,number of app transactions received per second (from unique events created by self and others),
write:,the app claimed to log statistics every this many milliseconds,

,,badEv/sec,bytes/sec_sync,bytes/sec_trans,bytes/trans,cEvents/sec,conns,dupEv%,ev/syncR,ev/syncS,events/sec,icSync/sec,irSync/sec,local,memberID,members,memFree,memMax,memTot,name,ping,proc,q1,q2,q3,rounds/sec,roundSup,sec/sync,secC2C,secC2R,secC2RC,secOR2T,secR2C,secR2F,secR2nR,secSC2T,simSyncs,sync/secC,sync/secR,time,trans/event,trans/sec,write,
,,0.0000000,0.00,0.00,0,0.00,0,0.00,0.0,0.0,0.00,0.0000000,0.0000000,12,6,12,78950360,1908932608,98041856,Gina,0,4,0.000,0.000,0.0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000000,0.0000000,0.0000000,2018-10-30 20:31:14 UTC,0.0,0.00,3000,
,,0.0000000,0.00,0.00,0,0.00,0,0.00,0.0,0.0,0.00,0.0000000,0.0000000,12,6,12,127863408,1908932608,310902784,Gina,0,4,0.000,0.000,0.0,0.000,-1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000000,0.0000000,0.0000000,2018-10-30 20:31:18 UTC,0.0,0.00,3000,
,,0.0000000,56225.39,0.00,0,0.00,21,0.00,0.0,0.0,0.00,0.0000000,0.0000000,12,6,12,125855816,1908932608,383778816,Gina,142,4,0.000,0.000,0.0,0.000,-1,0.046,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500000,4.9405877,3.6735629,2018-10-30 20:31:21 UTC,0.0,0.00,3000,
,,0.0000000,224647.76,488262.50,100,0.73,22,26.76,0.6,0.2,4.77,0.0000000,0.0000000,12,6,12,163417464,1908932608,479723520,Gina,172,4,0.091,0.000,0.0,0.000,-1,0.104,0.000,0.797,0.000,0.000,0.000,0.000,0.000,0.000,1.181818,5.7307173,4.2750489,2018-10-30 20:31:25 UTC,1024.0,4842.46,3000,
,,0.0000000,288319.26,980663.57,100,1.20,22,27.27,1.3,1.6,9.58,0.0000000,0.0000000,12,6,12,289968088,1908932608,681050112,Gina,172,4,0.071,0.000,0.0,0.000,-1,0.208,0.000,1.527,0.000,0.000,0.000,0.000,0.000,0.000,1.928571,4.7843176,3.5881561,2018-10-30 20:31:28 UTC,1024.0,9797.20,3000,
